/begin_header
/start_date=1997-01-01
/end_date=2019-07-19
/north_latitude=48[deg]
/south_latitude=32[deg]
/east_longitude=-60[deg]
/west_longitude=-80[deg]
! Date processed: 2019-07-19 17:52:24 GMT
! Date archived: 2000-01-01 to 2019-07-19
! Water depth: 0.0 to 10000
! Data source: seabass
! Exclusions:
!                                                             , SeaWiFS             
!  Minimum valid satellite pixels                             ,                  50 
!  Maximum solar zenith angle                                 ,                  75 
!  Maximum satellite zenith angle                             ,                  60 
!  Maximum time difference between satellite and in situ      ,                   3 
!  Maximum coefficient of variation of satellite pixels       ,                0.15 
!  Maximum irradiance difference between measured and modeled ,                  20 
!  Maximum windspeed                                          ,                  35 
!  Most Data Recent Update                                    , 2018-05-03 20:21:26 
! Statistics:
!  Product Name , #    , Mean Bias , Mean Absolute Percent , Mean Absolute Error (MAE) , SeaWiFS Range        , In situ Range       
!  chlor_a      , 1076 ,   1.01648 , NaN                   ,                   1.62156 , 0.039504 - 180.86721 , 0.024000 - 90.33500 
/missing=-999
/delimiter=comma
/fields=id,latitude,longitude,date_time,cruise,seawifs_filename,seawifs_es_error,seawifs_pixel_total,seawifs_tdiff,seawifs_solz,seawifs_senz,seawifs_cv,seawifs_windspeed,seawifs_chlor_a,insitu_chlor_a_type,insitu_chlor_a,seawifs_rrs412,seawifs_rrs443,seawifs_rrs490,seawifs_rrs510,seawifs_rrs555,seawifs_rrs670
/units=none,degrees,degrees,yyyy-mm-dd hh:mm:ss,none,none,unitless,unitless,seconds,degrees,degrees,unitless,m*s^-1,mg*m^-3,unitless,mg*m^-3,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1
/end_header
10075,41.19740000,-66.70150000,1998-06-05 15:35:00,al9807,S1998156163738.L2_MLAC.R0000020331_41N_40N_67W_66W.hdf_OCVAL.nc_al9807_10075_B5.tgz,0.00000000,25,4677,19.52,24.24,0.015,13.259,0.80986900,chl,1.78939998,0.00298900,0.00321600,0.00342500,0.00309900,0.00236400,0.00055500
10076,41.06750000,-67.06000000,1998-06-05 18:05:00,al9807,S1998156163738.L2_MLAC.R0000020331_41N_40N_67W_66W.hdf_OCVAL.nc_al9807_10076_B5.tgz,0.00000000,25,-4320,19.31,25.14,0.012,12.841,1.26065200,chl,2.31360006,0.00295100,0.00305500,0.00330900,0.00320100,0.00273500,0.00074200
10090,42.10370000,-66.38530000,1998-06-07 19:40:00,al9807,S1998158162816.L2_MLAC.R0000020331_42N_42N_66W_66W.hdf_OCVAL.nc_al9807_10090_B5.tgz,0.00000000,25,-10592,19.74,32.64,0.052,1.728,0.66891200,chl,0.60850000,0.00290100,0.00314500,0.00346200,0.00306700,0.00217200,0.00022200
10102,43.92370000,-68.58150000,1998-06-09 13:48:00,al9807,S1998160161854.L2_MLAC.R0000020331_43N_43N_69W_68W.hdf_OCVAL.nc_al9807_10102_B5.tgz,0.00000000,25,9948,20.98,51.70,0.070,3.003,1.47919300,chl,1.59060001,0.00159000,0.00172200,0.00211400,0.00199600,0.00185300,0.00012700
10108,42.12950000,-68.75970000,1998-06-10 15:20:00,al9807,S1998161170343.L2_MLAC.R0000020331_42N_42N_69W_68W.hdf_OCVAL.nc_al9807_10108_B5.tgz,0.00000000,25,7126,21.22,28.31,0.012,4.249,0.43933900,chl,0.28560001,0.00310100,0.00333900,0.00323300,0.00266600,0.00169300,0.00018700
10109,42.12120000,-69.65920000,1998-06-10 20:03:00,al9807,S1998161170343.L2_MLAC.R0000020331_42N_42N_69W_68W.hdf_OCVAL.nc_al9807_10109_B5.tgz,0.00000000,25,-9851,20.89,25.16,0.028,4.489,0.49380000,chl,0.23860000,0.00280700,0.00304600,0.00301800,0.00253500,0.00163000,0.00016900
100294,42.60020000,-70.56620000,2005-04-05 17:00:00,apr05mb,S2005095172142.L2_MLAC.R0000020370_42N_42N_70W_70W.hdf_OCVAL.nc_apr05mb_100294_B5.tgz,0.00000000,25,2043,37.89,24.30,0.067,2.533,6.33699100,chl_a,3.11500001,-0.00035100,0.00061600,0.00169000,0.00221300,0.00306200,0.00111200
15541,33.84800000,-77.43400000,1998-04-06 15:45:00,apr98sab,S1998096180228.L2_MLAC.R0000020371_34N_33N_77W_77W.hdf_OCVAL.nc_apr98sab_15541_B5.tgz,0.00000000,25,9003,30.91,58.51,0.041,3.317,0.87646000,chl,0.43799999,0.00108300,0.00146400,0.00192800,0.00184600,0.00136500,0.00008500
15549,33.71000000,-77.38800000,1998-04-12 17:11:00,apr98sab,S1998102173406.L2_MLAC.R0000020371_apr98sab_15549.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,2197,26.35,31.67,0.020,7.539,0.60605500,chl,0.26699999,0.00215700,0.00265200,0.00293300,0.00263500,0.00176100,0.00021200
15563,32.93000000,-79.28600000,1998-04-26 16:36:00,apr98sab,S1998116180655.L2_MLAC.R0000020371_32N_32N_79W_79W.hdf_OCVAL.nc_apr98sab_15563_B5.tgz,0.00000000,25,6339,24.57,58.97,0.073,4.897,2.81042800,chl,2.91000009,0.00369100,0.00336600,0.00337400,0.00366800,0.00404700,0.00099200
15564,32.91400000,-79.27500000,1998-04-27 16:59:00,apr98sab,S1998117171242.L2_MLAC.R0000020371_32N_32N_79W_79W.hdf_OCVAL.nc_apr98sab_15564_B5.tgz,0.00000000,25,1743,19.22,33.62,0.072,5.062,2.96498000,chl,1.95799994,0.00409600,0.00398600,0.00430000,0.00443600,0.00488700,0.00129100
15565,32.86400000,-79.47300000,1998-04-27 18:49:00,apr98sab,S1998117171242.L2_MLAC.R0000020371_32N_32N_79W_79W.hdf_OCVAL.nc_apr98sab_15565_B5.tgz,0.00000000,25,-4856,19.15,34.46,0.061,4.721,2.93949300,chl,1.51499999,0.00377500,0.00386000,0.00451500,0.00471900,0.00520400,0.00131000
210285,37.17660000,-75.38940000,2005-07-26 16:25:00,b02_biome,S2005207172635.L2_MLAC.R0000020380_37N_36N_75W_75W.hdf_OCVAL.nc_b02_biome_210285_B5.tgz,0.00000000,25,4747,19.54,32.50,0.015,1.759,0.56850800,chl_a,0.22700000,0.00611200,0.00554500,0.00498700,0.00415900,0.00322500,0.00052000
210286,37.09320000,-75.71090000,2005-07-26 18:30:00,b02_biome,S2005207172635.L2_MLAC.R0000020380_37N_36N_75W_75W.hdf_OCVAL.nc_b02_biome_210286_B5.tgz,0.00000000,25,-2751,19.35,33.85,0.033,1.344,1.25196100,chl_a,0.48600000,0.00632700,0.00596900,0.00599900,0.00553100,0.00495300,0.00101700
210287,36.91130000,-75.71770000,2005-07-26 20:28:00,b02_biome,S2005207172635.L2_MLAC.R0000020380_37N_36N_75W_75W.hdf_OCVAL.nc_b02_biome_210287_B5.tgz,0.00000000,25,-9828,19.20,33.69,0.026,1.394,1.79891200,chl_a,0.70300001,0.00615200,0.00580500,0.00589300,0.00572900,0.00571600,0.00121500
210293,36.68450000,-75.76770000,2005-07-27 18:34:00,b02_biome,S2005208180714.L2_MLAC.R0000020380_36N_36N_75W_75W.hdf_OCVAL.nc_b02_biome_210293_B5.tgz,0.00000000,25,-574,24.09,45.66,0.048,3.497,1.49219200,chl_a,0.64700001,0.00608900,0.00562500,0.00554100,0.00527500,0.00489100,0.00088400
