/begin_header
/start_date=1997-01-01
/end_date=2019-07-19
/north_latitude=48[deg]
/south_latitude=32[deg]
/east_longitude=-60[deg]
/west_longitude=-80[deg]
! Date processed: 2019-07-19 17:54:32 GMT
! Date archived: 2000-01-01 to 2019-07-19
! Water depth: 0.0 to 10000
! Data source: seabass
! Exclusions:
!                                                             , MODIS-Aqua          
!  Minimum valid satellite pixels                             ,                  50 
!  Maximum solar zenith angle                                 ,                  75 
!  Maximum satellite zenith angle                             ,                  60 
!  Maximum time difference between satellite and in situ      ,                   3 
!  Maximum coefficient of variation of satellite pixels       ,                0.15 
!  Maximum irradiance difference between measured and modeled ,                  20 
!  Maximum windspeed                                          ,                  35 
!  Most Data Recent Update                                    , 2019-06-12 19:30:40 
! Statistics:
!  Product Name , #   , Mean Bias , Mean Absolute Percent , Mean Absolute Error (MAE) , MODIS-Aqua Range    , In situ Range       
!  chlor_a      , 621 ,   1.21925 , NaN                   ,                   1.63586 , 0.100876 - 99.17241 , 0.065000 - 58.09900 
/missing=-999
/delimiter=comma
/fields=id,latitude,longitude,date_time,cruise,aqua_filename,aqua_es_error,aqua_pixel_total,aqua_tdiff,aqua_solz,aqua_senz,aqua_cv,aqua_windspeed,aqua_chlor_a,insitu_chlor_a_type,insitu_chlor_a,aqua_rrs412,aqua_rrs443,aqua_rrs469,aqua_rrs488,aqua_rrs531,aqua_rrs547,aqua_rrs555,aqua_rrs645,aqua_rrs667,aqua_rrs678
/units=none,degrees,degrees,yyyy-mm-dd hh:mm:ss,none,none,unitless,unitless,seconds,degrees,degrees,unitless,m*s^-1,mg*m^-3,unitless,mg*m^-3,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1
/end_header
280158,38.31827000,-76.29485000,2009-10-19 16:30:00,2009oct_chesapeake,A2009292183500.L2_LAC.R0000018533_38N_38N_76W_76W.hdf_OCVAL.nc_2009oct_chesapeake_280158_B5.tgz,0.00000000,22,7501,54.36,31.15,0.035,3.690,9.01203100,chl_a,5.75699997,0.00016900,0.00125200,0.00259400,0.00353300,0.00554900,0.00591700,0.00574000,0.00267700,0.00198100,0.00200100
280173,38.55670000,-76.43680000,2009-10-21 19:25:00,2009oct_chesapeake,A2009294182000.L2_LAC.R0000018533_38N_38N_76W_76W.hdf_OCVAL.nc_2009oct_chesapeake_280173_B5.tgz,0.00000000,25,-3732,54.00,9.67,0.094,0.506,15.76273100,chl_a,12.83399963,-0.00013200,0.00023900,0.00089200,0.00120100,0.00235000,0.00236900,0.00235800,0.00116300,0.00080800,0.00104900
280174,38.64722000,-76.41840000,2009-10-21 20:15:00,2009oct_chesapeake,A2009294182000.L2_LAC.R0000018533_38N_38N_76W_76W.hdf_OCVAL.nc_2009oct_chesapeake_280174_B5.tgz,0.00000000,25,-6732,54.08,9.94,0.053,0.528,14.94661100,chl_a,11.26599979,-0.00011400,0.00028700,0.00086400,0.00121900,0.00231700,0.00232300,0.00229300,0.00123900,0.00086100,0.00112500
100294,42.60020000,-70.56620000,2005-04-05 17:00:00,apr05mb,A2005095175000.L2_LAC.R0000018583_42N_42N_70W_70W.hdf_OCVAL.nc_apr05mb_100294_B5.tgz,0.00000000,25,3185,39.29,16.17,0.016,2.478,7.69278300,chl_a,3.11500001,0.00063500,0.00121800,0.00189600,0.00205600,0.00305900,0.00332800,0.00318100,0.00162900,0.00132200,0.00130300
210293,36.68450000,-75.76770000,2005-07-27 18:34:00,b02_biome,A2005208183000.L2_LAC.R0000018591_36N_36N_75W_75W.hdf_OCVAL.nc_b02_biome_210293_B5.tgz,0.00000000,25,0,25.56,40.63,0.036,3.568,1.58254800,chl_a,0.64700001,0.00355300,0.00355100,0.00405000,0.00403600,0.00423100,0.00386800,0.00359000,0.00036700,0.00044500,0.00054900
210294,36.74230000,-75.45520000,2005-07-27 21:27:00,b02_biome,A2005208183000.L2_LAC.R0000018591_36N_36N_75W_75W.hdf_OCVAL.nc_b02_biome_210294_B5.tgz,0.00000000,25,-10380,25.78,42.10,0.023,4.912,0.62252000,chl_a,0.24100000,0.00442100,0.00450300,0.00489200,0.00465000,0.00368500,0.00300000,0.00264900,0.00018800,0.00028200,0.00027200
210334,37.79600000,-75.31000000,2006-05-12 14:49:00,b03_biome,A2006132174000.L2_LAC.R0000018592_37N_37N_75W_74W.hdf_OCVAL.nc_b03_biome_210334_B5.tgz,0.00000000,25,10314,21.75,44.64,0.056,1.736,2.83526300,chl_a,2.84699988,0.00776400,0.00952700,0.01140200,0.01225000,0.01452800,0.01458700,0.01384000,0.00638200,0.00515800,0.00493000
210335,37.70100000,-75.05800000,2006-05-12 17:13:00,b03_biome,A2006132174000.L2_LAC.R0000018592_37N_37N_75W_74W.hdf_OCVAL.nc_b03_biome_210335_B5.tgz,0.00000000,25,1671,21.74,43.76,0.028,2.019,1.31307600,chl_a,0.87800002,0.00466300,0.00494500,0.00549300,0.00548200,0.00532000,0.00492000,0.00446200,0.00103300,0.00078300,0.00077600
210336,37.63300000,-74.86500000,2006-05-12 19:02:00,b03_biome,A2006132174000.L2_LAC.R0000018592_37N_37N_75W_74W.hdf_OCVAL.nc_b03_biome_210336_B5.tgz,0.00000000,25,-4871,21.76,42.98,0.053,1.987,0.89847700,chl_a,0.65600002,0.00424400,0.00426200,0.00461100,0.00450500,0.00393100,0.00348500,0.00315300,0.00066600,0.00047500,0.00046700
210337,37.57800000,-74.70200000,2006-05-12 20:37:00,b03_biome,A2006132174000.L2_LAC.R0000018592_37N_37N_75W_74W.hdf_OCVAL.nc_b03_biome_210337_B5.tgz,0.00000000,25,-10572,21.78,42.30,0.016,1.961,0.77721500,chl_a,1.00100005,0.00378200,0.00360800,0.00374000,0.00356300,0.00299400,0.00260500,0.00228600,0.00048700,0.00031400,0.00032900
5037,32.17090000,-64.50880000,2003-02-22 17:40:00,bats173,A2003053173000.L2_LAC.R0000018606_32N_32N_64W_64W.hdf_OCVAL.nc_bats173_5037_B5.tgz,0.00000000,25,-488,44.72,5.10,0.024,9.093,0.21231400,chl,0.38200000,0.00592100,0.00472000,0.00470500,0.00411800,0.00209500,0.00167000,0.00146500,0.00017200,0.00018200,0.00020800
5234,32.24060000,-64.24910000,2003-04-02 17:07:00,bats174a,A2003092173500.L2_LAC.R0000018609_32N_32N_64W_64W.hdf_OCVAL.nc_bats174a_5234_B5.tgz,0.00000000,25,1834,32.68,19.00,0.023,7.253,0.15620400,chl,0.26899999,0.00707300,0.00568600,0.00538000,0.00453400,0.00204400,0.00153400,0.00122800,0.00007900,0.00009700,0.00010800
5248,32.17920000,-64.46660000,2003-04-23 19:42:00,bats175,A2003113175500.L2_LAC.R0000018610_32N_32N_64W_64W.hdf_OCVAL.nc_bats175_5248_B5.tgz,0.00000000,25,-6368,30.10,45.83,0.015,4.186,0.10087600,chl,0.06500000,0.00869500,0.00782900,0.00711600,0.00588900,0.00214800,0.00151700,0.00128400,0.00007800,0.00011600,0.00012100
