/begin_header
/start_date=1997-01-01
/end_date=2019-07-19
/north_latitude=48[deg]
/south_latitude=32[deg]
/east_longitude=-60[deg]
/west_longitude=-80[deg]
! Date processed: 2019-07-19 17:56:40 GMT
! Date archived: 2000-01-01 to 2019-07-19
! Water depth: 0.0 to 10000
! Data source: seabass
! Exclusions:
!                                                             , VIIRS-SNPP          
!  Minimum valid satellite pixels                             ,                  50 
!  Maximum solar zenith angle                                 ,                  75 
!  Maximum satellite zenith angle                             ,                  60 
!  Maximum time difference between satellite and in situ      ,                   3 
!  Maximum coefficient of variation of satellite pixels       ,                0.15 
!  Maximum irradiance difference between measured and modeled ,                  20 
!  Maximum windspeed                                          ,                  35 
!  Most Data Recent Update                                    , 2019-06-27 17:39:43 
! Statistics:
!  Product Name , #   , Mean Bias , Mean Absolute Percent , Mean Absolute Error (MAE) , VIIRS-SNPP Range    , In situ Range       
!  chlor_a      , 128 ,   1.13114 , NaN                   ,                   1.42455 , 0.164524 - 47.68464 , 0.201000 - 22.88572 
/missing=-999
/delimiter=comma
/fields=id,latitude,longitude,date_time,cruise,viirs_filename,viirs_es_error,viirs_pixel_total,viirs_tdiff,viirs_solz,viirs_senz,viirs_cv,viirs_windspeed,viirs_chlor_a,insitu_chlor_a_type,insitu_chlor_a,viirs_rrs410,viirs_rrs443,viirs_rrs486,viirs_rrs551,viirs_rrs671
/units=none,degrees,degrees,yyyy-mm-dd hh:mm:ss,none,none,unitless,unitless,seconds,degrees,degrees,unitless,m*s^-1,mg*m^-3,unitless,mg*m^-3,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1
/end_header
463065,37.69180000,-76.18967000,2012-01-10 15:57:00,cbp06,V2012010172400.L2_SNPP.R0000028718_39N_36N_76W_76W_OCVAL.nc_4551_463065_B5.tgz,0.00000000,25,5512,59.79,45.88,0.129,3.477,10.74037100,chl,9.71880000,0.00151300,0.00109800,0.00122200,0.00241100,0.00090600
463083,38.13705000,-76.22787000,2012-01-10 16:51:00,cbp06,V2012010172400.L2_SNPP.R0000028718_39N_36N_76W_76W_OCVAL.nc_4551_463083_B5.tgz,0.00000000,25,2279,60.23,45.28,0.088,3.552,19.43711400,chl,21.81800000,0.00141200,0.00091100,0.00098500,0.00221000,0.00096400
463089,37.58847000,-76.16216000,2012-01-10 16:53:00,cbp06,V2012010172400.L2_SNPP.R0000028718_39N_36N_76W_76W_OCVAL.nc_4551_463089_B5.tgz,0.00000000,25,2150,59.69,45.97,0.103,3.462,11.22964000,chl,11.10720000,0.00148600,0.00120400,0.00146100,0.00280300,0.00107400
463119,37.48680000,-76.15633000,2012-01-10 19:05:00,cbp06,V2012010172400.L2_SNPP.R0000028718_39N_36N_76W_76W_OCVAL.nc_4551_463119_B5.tgz,0.00000000,25,-5772,59.59,46.10,0.091,3.436,9.16787500,chl,7.68960000,0.00166500,0.00125400,0.00145000,0.00265300,0.00095400
463479,38.41457000,-76.34565000,2012-02-14 18:38:00,cbp06,V2012045181200.L2_SNPP.R0000028718_39N_36N_76W_75W_OCVAL.nc_4551_463479_B5.tgz,0.00000000,25,-1518,52.94,17.55,0.114,3.890,22.13844400,chl,19.43800000,0.00066000,0.00104100,0.00164500,0.00374500,0.00128400
463551,37.69180000,-76.18967000,2012-02-15 16:15:00,cbp06,V2012046174800.L2_SNPP.R0000028718_38N_37N_76W_76W_OCVAL.nc_4551_463551_B5.tgz,0.00000000,25,5921,51.05,13.81,0.061,4.548,10.83116600,chl,6.62160000,0.00121600,0.00167300,0.00258800,0.00493300,0.00174300
463563,37.58847000,-76.16216000,2012-02-15 17:00:00,cbp06,V2012046174800.L2_SNPP.R0000028718_38N_37N_76W_76W_OCVAL.nc_4551_463563_B5.tgz,0.00000000,25,3219,50.95,13.87,0.059,4.631,10.77420800,chl,9.50520000,0.00136600,0.00171000,0.00254700,0.00487600,0.00171600
463569,38.88000000,-76.25150000,2012-02-15 17:33:00,cbp06,V2012046175400.L2_SNPP.R0000028718_38N_37N_76W_76W_OCVAL.nc_4551_463569_B5.tgz,0.00000000,25,1261,52.21,11.63,0.062,4.045,18.91449000,chl,10.25000000,0.00130300,0.00163100,0.00267500,0.00597500,0.00201600
