/begin_header
/start_date=1997-01-01
/end_date=2019-07-19
/north_latitude=48[deg]
/south_latitude=32[deg]
/east_longitude=-60[deg]
/west_longitude=-80[deg]
! Date processed: 2019-07-19 17:57:44 GMT
! Date archived: 2000-01-01 to 2019-07-19
! Water depth: 0.0 to 10000
! Data source: seabass
! Exclusions:
!                                                             , MERIS               
!  Minimum valid satellite pixels                             ,                  50 
!  Maximum solar zenith angle                                 ,                  75 
!  Maximum satellite zenith angle                             ,                  60 
!  Maximum time difference between satellite and in situ      ,                   3 
!  Maximum coefficient of variation of satellite pixels       ,                0.15 
!  Maximum irradiance difference between measured and modeled ,                  20 
!  Maximum windspeed                                          ,                  35 
!  Most Data Recent Update                                    , 2018-05-03 21:23:54 
! Statistics:
!  Product Name , #   , Mean Bias , Mean Absolute Percent , Mean Absolute Error (MAE) , MERIS Range         , In situ Range       
!  chlor_a      , 557 ,   1.10936 , NaN                   ,                   1.62278 , 0.054149 - 41.53173 , 0.064000 - 40.23000 
/missing=-999
/delimiter=comma
/fields=id,latitude,longitude,date_time,cruise,meris_filename,meris_es_error,meris_pixel_total,meris_tdiff,meris_solz,meris_senz,meris_cv,meris_windspeed,meris_chlor_a,insitu_chlor_a_type,insitu_chlor_a,meris_rrs413,meris_rrs443,meris_rrs490,meris_rrs510,meris_rrs560,meris_rrs620,meris_rrs665,meris_rrs681,meris_rrs709
/units=none,degrees,degrees,yyyy-mm-dd hh:mm:ss,none,none,unitless,unitless,seconds,degrees,degrees,unitless,m*s^-1,mg*m^-3,unitless,mg*m^-3,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1
/end_header
280168,38.13617000,-76.22897000,2009-10-21 13:55:00,2009oct_chesapeake,M2009294152431.L2_RR.R0000017771_38N_38N_76W_76W.N1_OCVAL.bz2,0.00000000,25,5880,52.16,2.88,0.090,0.533,3.88448358,chl_a,7.19799995,0.00018362,0.00102520,0.00250676,0.00307172,0.00383091,0.00210546,0.00132080,0.00151055,0.00090829
211988,32.73620000,-65.99500000,2003-11-07 16:44:00,a22,M2003311144318.L2_RR.R0000017777_32N_32N_65W_65W.N1_OCVAL.bz2,0.00000000,25,-6720,52.23,10.89,0.044,6.611,0.09197469,chl,0.11100000,0.00656072,0.00591472,0.00477031,0.00251029,0.00098757,-0.00000657,0.00002543,0.00005543,-0.00030923
100294,42.60020000,-70.56620000,2005-04-05 17:00:00,apr05mb,M2005095145029.L2_RR.R0000017822_42N_42N_70W_70W.N1_OCVAL.bz2,0.00000000,25,-7020,42.64,16.40,0.046,3.047,7.26766109,chl_a,3.11500001,-0.00097109,0.00018791,0.00149991,0.00212391,0.00313142,0.00150219,0.00110972,0.00109752,0.00081895
5234,32.24060000,-64.24910000,2003-04-02 17:07:00,bats174a,M2003092141909.L2_RR.R0000017855_32N_32N_64W_64W.N1_OCVAL.bz2,0.00000000,25,-9180,36.84,7.11,0.021,6.565,0.14320418,chl,0.26899999,0.00586026,0.00521691,0.00418543,0.00267960,0.00116695,0.00002591,0.00001324,0.00005781,0.00000818
5868,32.03300000,-64.41930000,2003-08-11 16:43:00,bats179,M2003223135846.L2_RR.R0000017860_32N_32N_64W_64W.N1_OCVAL.bz2,0.00000000,25,-8700,32.93,36.01,0.023,5.251,0.08030084,chl,0.06400000,0.01407290,0.01129290,0.00724432,0.00400832,0.00181337,0.00036880,0.00017632,0.00014255,-0.00008333
5873,32.14600000,-64.00310000,2003-08-14 16:56:00,bats179,M2003226140448.L2_RR.R0000017860_32N_32N_64W_64W.N1_OCVAL.bz2,0.00000000,25,-9180,32.03,25.30,0.029,4.161,0.07918239,chl,0.06900000,0.01303611,0.01068678,0.00707878,0.00390518,0.00169213,0.00036511,0.00019288,0.00012906,0.00000513
6202,32.14800000,-64.56630000,2003-11-07 14:59:00,bats182,M2003311144318.L2_RR.R0000017863_bats182_6202.N1_OCVAL.bz2,0.00000000,25,-420,51.23,22.00,0.024,5.010,0.05414945,chl,0.13699999,0.00838950,0.00715900,0.00535671,0.00266341,0.00095822,0.00000488,0.00004141,-0.00002329,-0.00032912
279574,43.73010000,-69.99890000,2009-02-09 15:00:00,bd02_2009,M2009040150840.L2_RR.R0000017958_43N_43N_69W_69W.N1_OCVAL.bz2,0.00000000,9,840,62.50,2.93,0.123,2.728,2.25445342,chl_a,3.63599992,0.00196457,0.00280650,0.00425850,0.00458257,0.00465257,0.00153467,0.00086943,0.00084886,0.00079857
